,thuong_hieu,dong_xe,nam_dang_ky,so_km_da_di,tinh_trang,loai_xe,dung_tich_xe,xuat_xu,gia_actual,gia_pred,residual,residual_z,outside_p10p90,p10,p90,iso_score_raw,iso_flag,lof_flag,lof_score_raw,dbscan_flag,resid_flag_cheap,resid_flag_expensive,resid_score_raw,resid_score,iso_score,lof_score,p10p90_score,anomaly_score,anomaly_flag
475,Yamaha,Exciter,2025.0,2.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,550.0000000000002,34.045788,515.9542121887209,14.653978912049379,1,4.700000000000001,65.99999999999997,-0.02945976416642543,0,0,1.3270607411622852,0,0,1,14.653978912049379,62.00461633368528,37.632221245548486,18.176029768739227,100,80.96423477716544,1
965,Honda,Vario,2021.0,22000.0,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,39.0,34.096024,4.9039764404296875,0.03389098635810288,0,4.700000000000001,65.99999999999997,-0.051717473270597836,0,0,1.4652197670095357,0,0,0,0.03389098635810288,0.14335828906298556,16.33523418633179,24.418563205022323,0,11.016562788546306,0
4703,Honda,Air Blade,2014.0,85000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,16.500000000000004,13.707417,2.7925834655761754,-0.02651159009868419,0,4.700000000000001,65.99999999999997,-0.04963822052272787,0,0,0.9962439360729516,0,0,0,0.02651159009868419,0.11213421308357688,18.32473897574996,3.228508574302464,0,6.428196829964468,0
4123,SYM,Elizabeth,2009.0,2000.0,Đã sử dụng,Tay ga,100 - 175 cc,Hàn Quốc,8.000000000000002,3.4466076,4.553392410278322,0.02386150395574924,0,4.700000000000001,65.99999999999997,-0.014440628910998954,0,0,1.0060269218319327,1,0,0,0.02386150395574924,0.10092103409574768,52.00307709950885,3.670539888091841,0,20.8849145760768,0
1714,Honda,Air Blade,2007.0,50000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,5.499999999999999,9.353811,-3.853811264038087,-0.21665116648207403,0,4.700000000000001,65.99999999999997,-0.04939720922055274,0,0,1.0892586624625742,0,0,0,0.21665116648207403,0.91666243883239,18.555347371228834,7.431256357106827,0,8.08087337862722,0
1943,Nioshima,Nio Fi 50cc,2023.0,8000.0,Đã sử dụng,Tay ga,50 - 100 cc,Đài Loan,14.999999999999998,20.558836,-5.558835983276369,-0.26542838947707215,0,4.700000000000001,65.99999999999997,-0.018350217042134853,0,0,1.2202023185920232,1,0,0,0.26542838947707215,1.123051100359608,48.26224072475094,13.34777282531779,0,22.3747729398221,0
254,Honda,Wave,2006.0,20000.0,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,11.0,9.245323,1.7546768188476562,-0.05620394785997514,0,4.700000000000001,65.99999999999997,-0.046690283217516115,0,0,1.0177673435070365,0,0,0,0.05620394785997514,0.23777002421961788,21.145432801275238,4.2010153630993745,0,7.953678383074415,0
384,Suzuki,GZ,2019.0,18000.0,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Trung Quốc,50.0,35.79585,14.204151153564453,0.2999497072414452,0,4.700000000000001,65.99999999999997,-0.01671744816706039,0,0,1.007067357157621,1,0,0,0.2999497072414452,1.269119452144935,49.82453347646249,3.7175505865899643,0,20.66553210891573,0
1935,Yamaha,Grande,2017.0,30000.0,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,17.499999999999996,23.520714,-6.020713806152347,-0.27864175659642443,0,4.700000000000001,65.99999999999997,-0.04012205312941747,0,0,1.131272648780979,1,0,0,0.27864175659642443,1.1789601699331365,27.430154671504564,9.329602938343973,0,12.504248663479014,0
1517,Honda,SH,2021.0,53000.0,Đã sử dụng,Tay ga,Trên 175 cc,Thái Lan,150.0,103.75889,46.241111755371094,1.2164607429608658,1,4.700000000000001,65.99999999999997,-0.014119136349121042,0,0,1.5896177022544662,1,0,0,1.2164607429608658,5.147107462172744,52.31069289670987,30.03931990483885,100,56.33382441321007,1
